
Serial Number:  BIP060009
M1    M1    M1    M1    M2    M2    M2    M2    
Lavg  Lpk   Lmax  Lmin  Lavg  Lpk   Lmax  Lmin  
----- ----- ----- ----- ----- ----- ----- ----- 
---.-  74.0  63.0  34.9  58.6  77.6  67.5  50.0 
---.-  71.0  58.4  34.1  57.0  75.4  65.6  50.1 
---.-  71.6  61.5  39.0  63.9  79.6  73.6  52.6 
---.-  71.5  60.7  38.4  62.4  79.1  69.3  53.6 
---.-  75.0  64.5  36.0  65.1  79.6  77.2  53.8 
---.-  73.7  61.9  35.2  61.4  79.5  70.8  53.2 
---.-  75.9  63.6  37.6  59.9  79.5  68.2  51.6 
---.-  75.8  65.5  38.2  63.2  79.6  73.2  53.5 
---.-  77.0  66.1  36.9  63.6  79.6  72.3  51.5 
---.-  74.9  63.8  34.6  61.0  78.2  68.7  53.0 
---.-  75.5  64.4  37.8  60.1  79.6  69.0  54.2 
---.-  73.9  64.6  37.2  62.0  79.6  70.3  52.5 
